Day,O3
THU 22 AUG,72
WED 21 AUG,68
TUE 20 AUG,59
MON 19 AUG,68
SUN 18 AUG,79
SAT 17 AUG,82
FRI 16 AUG,79
THU 15 AUG,68
WED 14 AUG,67
TUE 13 AUG,64
MON 12 AUG,52
SUN 11 AUG,56
SAT 10 AUG,52
FRI 09 AUG,63
THU 08 AUG,84
WED 07 AUG,83
TUE 06 AUG,82
MON 05 AUG,94
SUN 04 AUG,100
SAT 03 AUG,100
FRI 02 AUG,95
THU 01 AUG,79
WED 31 JUL,50
TUE 30 JUL,39
MON 29 JUL,35
SUN 28 JUL,33
SAT 27 JUL,36
FRI 26 JUL,32
THU 25 JUL,20
WED 24 JUL,24
TUE 23 JUL,30
MON 22 JUL,41
SUN 21 JUL,33
SAT 20 JUL,25
FRI 19 JUL,42
THU 18 JUL,48
WED 17 JUL,67
TUE 16 JUL,64
MON 15 JUL,40
SUN 14 JUL,29
SAT 13 JUL,52
FRI 12 JUL,76
THU 11 JUL,70
WED 10 JUL,59
TUE 09 JUL,70
MON 08 JUL,67
SUN 07 JUL,49
SAT 06 JUL,56
FRI 05 JUL,68
THU 04 JUL,65
WED 03 JUL,43
TUE 02 JUL,53
MON 01 JUL,56
SUN 30 JUN,52
SAT 29 JUN,67
FRI 28 JUN,68
THU 27 JUN,48
WED 26 JUN,45
TUE 25 JUN,53
MON 24 JUN,57
SUN 23 JUN,49
SAT 22 JUN,46
FRI 21 JUN,55
THU 20 JUN,55
WED 19 JUN,61
TUE 18 JUN,69
MON 17 JUN,73
SUN 16 JUN,72
SAT 15 JUN,75
FRI 14 JUN,74
THU 13 JUN,67
WED 12 JUN,67
TUE 11 JUN,57
MON 10 JUN,59
SUN 09 JUN,65
SAT 08 JUN,62
FRI 07 JUN,66
THU 06 JUN,78
WED 05 JUN,62
TUE 04 JUN,55
MON 03 JUN,60
SUN 02 JUN,71
SAT 01 JUN,71
FRI 31 MAY,51
THU 30 MAY,41
WED 29 MAY,53
TUE 28 MAY,52
MON 27 MAY,66
SUN 26 MAY,75
SAT 25 MAY,60
FRI 24 MAY,60
THU 23 MAY,78
WED 22 MAY,67
TUE 21 MAY,52
MON 20 MAY,48
SUN 19 MAY,58
SAT 18 MAY,69
FRI 17 MAY,55
THU 16 MAY,41
WED 15 MAY,36
TUE 14 MAY,35
MON 13 MAY,34
SUN 12 MAY,39
SAT 11 MAY,38
FRI 10 MAY,37
THU 09 MAY,41
WED 08 MAY,42
TUE 07 MAY,41
MON 06 MAY,39
SUN 05 MAY,46
SAT 04 MAY,50
FRI 03 MAY,41
THU 02 MAY,38
WED 01 MAY,56
TUE 30 APR,65
MON 29 APR,62
SUN 28 APR,60
SAT 27 APR,60
FRI 26 APR,62
THU 25 APR,55
WED 24 APR,53
TUE 23 APR,57
MON 22 APR,56
SUN 21 APR,54
