date,pm2.5,pm10,o3,no2,so2,co
2014-01-01,,,,,,
2014-01-02,,44,73,28,92,37
2014-01-03,125,40,67,17,93,20
2014-01-04,117,39,37,23,92,12
2014-01-05,116,,,,,
2014-01-06,,36,100,12,93,16
2014-01-07,105,32,69,15,93,21
2014-01-08,99,26,46,12,93,12
2014-01-09,84,25,84,15,93,17
2014-01-10,83,19,72,18,93,21
2014-01-11,67,17,46,18,93,15
2014-01-12,63,14,49,16,92,14
2014-01-13,55,23,85,12,92,12
2014-01-14,77,24,69,9,92,8
2014-01-15,79,29,70,14,92,10
2014-01-16,90,28,70,15,92,9
2014-01-17,88,26,70,11,92,3
2014-01-18,82,42,105,15,92,8
2014-01-19,124,37,0,12,92,5
2014-01-20,108,35,58,15,92,11
2014-01-21,105,51,111,10,92,6
2014-01-22,145,49,90,18,92,12
2014-01-23,134,44,64,19,92,10
2014-01-24,126,36,46,24,92,24
2014-01-25,107,29,35,19,92,13
2014-01-26,89,17,30,12,92,8
2014-01-27,60,15,32,15,92,9
2014-01-28,58,22,30,16,92,14
2014-01-29,74,23,36,15,93,12
2014-01-30,77,22,38,11,92,7
2014-01-31,73,17,31,13,92,12
2014-02-01,61,14,30,12,92,4
2014-02-02,53,13,29,11,92,5
2014-02-03,51,12,25,11,93,5
2014-02-04,49,15,16,17,93,6
2014-02-05,58,,,,,
2014-02-06,,,,,,
2014-02-07,,,,,,
2014-02-08,,13,23,5,94,4
2014-02-09,53,19,38,10,94,6
2014-02-10,68,12,62,8,93,9
2014-02-11,43,5,42,8,93,9
2014-02-12,12,7,47,11,93,4
2014-02-13,31,5,47,10,92,4
2014-02-14,22,4,51,10,92,5
2014-02-15,18,16,62,15,92,9
2014-02-16,60,20,82,13,93,7
2014-02-17,70,17,70,12,93,8
2014-02-18,63,,,,,
2014-02-19,,3,57,3,92,2
2014-02-20,13,8,58,14,92,9
2014-02-21,29,23,46,20,93,22
2014-02-22,61,33,53,16,93,9
2014-02-23,89,17,50,8,93,3
