date_time,totalprecip_mm,avgvis_km,temp_c,wind_kph,pressure_in,humidity,pm2_5,pm10,o3,no2,so2,co
2020-01-01,15.0,6.5,19.0,11.89,30.15,96.0,22.724,6.118,14.0,8.0,4.0,2.0
2020-01-02,1.7,4.9,20.9,6.63,30.13,93.0,22.724,6.992,14.0,9.0,4.0,4.0
2020-01-03,2.1,8.8,21.9,7.33,30.07,91.0,22.724,9.614,13.0,17.0,4.0,10.0
2020-01-04,0.7,9.7,22.2,6.32,30.02,85.0,27.968,13.11,11.0,23.0,4.0,11.0
2020-01-05,0.2,10.0,21.5,6.72,30.0,86.0,34.96,13.11,12.0,20.0,4.0,8.0
2020-01-06,0.0,9.0,21.7,6.35,29.99,87.0,39.33,27.968,11.0,17.0,4.0,6.0
2020-01-07,0.0,6.8,22.1,5.58,29.95,88.0,74.29,37.582,10.0,14.0,4.0,7.0
2020-01-08,2.9,8.7,22.7,6.5,29.97,88.0,92.644,45.448,10.0,17.0,4.0,9.0
2020-01-09,0.0,7.1,22.3,6.02,29.94,86.0,105.754,26.22,10.0,20.0,4.0,10.0
2020-01-10,0.0,10.0,22.0,6.13,29.9,86.0,72.542,27.968,9.0,22.0,4.0,11.0
2020-01-11,0.2,10.0,21.9,5.9,29.88,86.0,75.164,34.086,9.0,22.0,4.0,10.0
2020-01-12,12.7,9.7,20.2,12.2,29.94,89.0,87.4,24.472,13.0,17.0,4.0,6.0
2020-01-13,0.1,9.0,20.6,5.73,29.94,91.0,69.046,22.724,21.0,15.0,4.0,6.0
2020-01-14,0.0,8.2,21.8,8.2,29.92,86.0,64.676,33.212,19.0,19.0,4.0,7.0
2020-01-15,0.0,10.0,21.6,8.53,29.93,84.0,84.778,34.96,18.0,14.0,4.0,5.0
2020-01-16,0.0,10.0,21.7,6.37,29.93,87.0,85.652,21.85,15.0,16.0,4.0,6.0
2020-01-17,8.2,9.9,22.4,9.03,30.0,84.0,68.172,6.992,10.0,17.0,5.0,11.0
2020-01-18,2.2,9.9,21.9,6.55,29.99,85.0,22.724,14.858,10.0,17.0,5.0,8.0
2020-01-19,15.5,9.7,21.2,9.85,30.01,86.0,48.944,29.716,16.0,17.0,4.0,6.0
2020-01-20,0.9,9.1,19.8,9.05,30.06,92.0,81.282,27.094,15.0,18.0,4.0,5.0
2020-01-21,0.0,10.0,21.0,6.6,30.05,87.0,76.912,26.22,16.0,14.0,4.0,4.0
2020-01-22,0.0,7.8,21.6,6.37,29.98,88.0,75.164,19.228,15.0,11.0,4.0,4.0
2020-01-23,0.0,7.8,22.1,6.65,29.92,88.0,57.684,31.464,14.0,9.0,4.0,2.0
2020-01-24,0.0,9.0,22.7,6.76,29.91,88.0,83.904,47.196,15.0,5.0,4.0,1.0
2020-01-25,16.3,9.7,22.5,12.68,29.87,85.0,117.99,44.574,14.0,4.0,4.0,2.0
2020-01-26,9.21,5.4,16.5,16.01,29.93,92.0,111.872,40.204,12.0,4.0,4.0,2.0
2020-01-27,7.1,5.7,15.1,8.11,29.94,88.0,106.628,44.574,12.0,7.0,4.0,2.0
2020-01-28,10.5,8.3,16.1,10.42,29.97,93.0,114.494,21.85,13.0,7.0,5.0,3.0
2020-01-29,6.4,7.0,16.7,13.68,30.07,91.0,65.55,32.338,13.0,6.0,5.0,2.0
2020-01-30,0.0,8.8,16.6,11.17,30.11,80.0,80.408,33.212,20.0,8.0,5.0,2.0
2020-01-31,0.0,10.0,16.5,7.18,30.07,78.0,89.148,27.094,18.0,21.0,5.0,7.0
2020-02-01,0.0,10.0,18.1,5.2,30.03,84.0,73.416,31.464,19.0,18.0,5.0,6.0
2020-02-02,0.0,10.0,20.3,6.68,30.04,84.0,84.778,30.59,19.0,18.0,5.0,6.0
2020-02-03,0.0,10.0,20.8,7.21,29.98,84.0,86.526,34.086,14.0,10.0,5.0,3.0
2020-02-04,8.3,10.0,20.4,7.83,29.99,86.0,97.014,26.22,16.0,12.0,5.0,4.0
2020-02-05,0.8,9.7,20.5,11.02,29.98,82.0,75.164,21.85,15.0,14.0,5.0,5.0
2020-02-06,0.0,9.0,21.4,7.13,29.96,84.0,69.92,17.48,16.0,13.0,5.0,4.0
2020-02-07,0.0,10.0,21.6,5.86,30.01,86.0,59.432,24.472,14.0,14.0,5.0,4.0
2020-02-08,4.6,9.7,21.4,6.62,30.09,88.0,76.912,30.59,17.0,10.0,5.0,2.0
2020-02-09,50.9,7.8,19.7,15.72,30.15,94.0,90.896,30.59,20.0,6.0,5.0,2.0
2020-02-10,4.5,7.1,17.9,11.78,30.11,93.0,93.518,19.228,19.0,4.0,5.0,2.0
2020-02-11,0.0,7.2,19.6,5.52,30.03,90.0,64.676,22.724,19.0,4.0,2.0,2.0
2020-02-12,0.0,5.8,22.4,7.51,29.94,90.0,70.794,17.48,19.0,7.0,2.0,2.0
2020-02-13,0.8,7.8,24.3,6.13,29.83,84.0,58.558,20.102,14.0,8.0,3.0,2.0
2020-02-14,0.0,10.0,25.9,10.24,29.75,76.0,62.928,20.102,14.0,9.0,5.0,4.0
2020-02-15,0.0,10.0,26.3,8.11,29.79,72.0,62.928,19.228,15.0,10.0,5.0,3.0
2020-02-16,8.2,7.0,18.0,16.92,30.05,89.0,61.18,22.724,14.0,6.0,5.0,2.0
2020-02-17,0.2,6.2,16.0,15.87,30.21,84.0,69.92,24.472,15.0,6.0,5.0,2.0
2020-02-18,1.0,7.7,16.8,9.45,30.2,79.0,76.912,28.842,17.0,12.0,5.0,4.0
2020-02-19,0.0,10.0,17.9,7.01,30.12,83.0,84.778,32.338,20.0,12.0,5.0,3.0
2020-02-20,4.9,7.7,20.2,7.06,30.11,88.0,91.77,25.346,18.0,14.0,5.0,4.0
2020-02-21,5.3,9.6,21.1,9.3,30.18,86.0,76.038,20.102,17.0,10.0,5.0,5.0
2020-02-22,4.8,9.4,19.9,12.63,30.22,91.0,62.928,26.22,16.0,6.0,5.0,6.0
2020-02-23,0.3,9.8,20.3,9.09,30.16,88.0,78.66,25.877029635214452,16.0,6.0,5.0,6.0
2020-02-24,0.2,10.0,19.7,6.28,30.03,88.0,89.86979145936998,25.877029635214452,16.0,6.0,5.0,6.0
2020-02-25,0.0,9.3,20.7,5.7,29.97,86.0,88.37196160171382,27.399207849050597,16.0,6.0,5.0,6.0
2020-02-26,0.0,8.9,21.6,7.25,29.98,89.0,91.36762131702613,33.48792070439517,16.0,6.0,5.0,6.0
2020-02-27,3.1,9.0,22.6,7.3,29.96,85.0,106.3459198935878,26.638118742132527,10.0,3.0,5.0,1.0
2020-02-28,0.2,9.8,22.8,7.28,29.92,84.0,95.86111088999463,19.788316779869877,10.0,3.0,5.0,1.0
2020-02-29,0.3,9.7,23.4,5.47,29.86,87.0,85.37630188640148,17.760158389934936,10.0,3.0,5.0,1.0
2020-03-01,0.0,7.9,23.3,6.84,29.86,87.0,74.89149288280831,15.732,10.0,3.0,5.0,1.0
2020-03-02,0.1,9.8,23.9,6.54,29.88,83.0,52.44,24.472,10.0,3.0,5.0,1.0
2020-03-03,0.1,9.6,23.7,10.32,29.89,85.0,68.172,27.094,9.0,2.0,5.0,1.0
2020-03-04,29.2,8.3,22.1,10.4,29.9,92.0,78.66,21.85,10.0,3.0,5.0,1.0
2020-03-05,12.3,9.0,20.0,14.49,29.97,94.0,67.298,24.472,10.0,4.0,5.0,1.0
2020-03-06,0.2,7.7,21.1,6.47,29.92,88.0,70.794,38.456,16.0,6.0,5.0,1.0
2020-03-07,0.0,8.0,23.3,6.7,29.84,87.0,107.502,44.574,20.0,4.0,5.0,1.0
2020-03-08,0.0,10.0,27.4,5.29,29.71,67.0,117.99,27.094,17.0,4.0,5.0,1.0
2020-03-09,0.0,10.0,27.6,7.72,29.66,60.0,82.156,32.338,20.0,5.0,5.0,1.0
2020-03-10,13.4,7.4,22.2,11.94,29.86,80.0,93.518,39.33,19.0,4.0,6.0,1.0
2020-03-11,0.7,10.0,21.1,7.37,29.93,84.0,108.376,17.48,19.0,5.0,5.0,1.0
2020-03-12,0.0,9.0,23.8,6.54,29.85,86.0,58.558,25.346,29.0,5.0,5.0,1.0
2020-03-13,0.0,9.8,25.7,6.22,29.85,83.0,77.786,43.7,64.0,6.0,6.0,1.0
2020-03-14,7.7,6.1,22.9,10.92,29.97,92.0,120.612,36.708,114.0,4.0,6.0,1.0
2020-03-15,1.5,10.0,21.1,9.93,29.98,89.0,104.88,36.708,89.0,4.0,6.0,1.0
2020-03-16,0.1,8.0,22.4,5.79,29.96,89.0,106.628,30.59,87.0,5.0,6.0,1.0
2020-03-17,0.0,8.0,23.7,8.65,29.95,89.0,87.4,26.22,72.0,4.0,6.0,1.0
2020-03-18,0.8,8.6,23.5,8.71,29.9,87.0,78.66,32.338,18.0,4.0,6.0,1.0
2020-03-19,3.0,8.1,23.6,8.45,29.88,90.0,91.77,30.59,14.0,5.0,6.0,1.0
2020-03-20,0.0,9.2,23.6,8.1,29.88,88.0,88.274,30.59,14.0,5.0,6.0,1.0
2020-03-21,0.7,9.1,24.6,6.5,29.86,89.0,87.4,32.338,14.0,4.0,6.0,1.0
2020-03-22,2.4,8.5,25.3,5.75,29.83,85.0,94.392,34.086,13.0,3.0,6.0,1.0
2020-03-23,0.0,9.7,25.1,6.38,29.83,85.0,98.762,22.724,12.0,5.0,6.0,1.0
2020-03-24,0.0,10.0,24.5,6.68,29.82,85.0,71.668,19.228,14.0,5.0,6.0,1.0
2020-03-25,3.2,8.0,24.7,7.15,29.8,87.0,62.928,15.732,11.0,3.0,6.0,1.0
2020-03-26,0.0,9.0,25.5,8.47,29.79,86.0,55.062,21.85,11.0,4.0,6.0,1.0
2020-03-27,0.0,10.0,26.5,8.45,29.78,80.0,66.424,24.472,13.0,6.0,6.0,1.0
2020-03-28,0.9,10.0,25.8,8.21,29.8,85.0,69.92,31.464,13.0,5.0,6.0,1.0
2020-03-29,0.0,10.0,26.5,9.77,29.76,81.0,89.148,41.952,14.0,3.0,6.0,1.0
2020-03-30,0.1,10.0,26.9,8.64,29.74,80.0,112.746,45.448,14.0,3.0,6.0,1.0
2020-03-31,1.9,8.8,26.0,6.78,29.78,83.0,123.234,39.33,14.0,3.0,6.0,1.0
2020-04-01,1.1,8.1,24.8,9.11,29.85,87.0,109.25,27.094,12.0,3.0,6.0,1.0
2020-04-02,0.8,7.8,25.4,9.42,29.88,85.0,79.534,36.53227713206746,12.0,3.0,6.0,1.0
2020-04-03,0.7,8.0,25.5,7.2,29.89,85.0,110.8394094665563,42.62098998741204,11.0,2.0,6.0,1.0
2020-04-04,18.3,8.7,24.8,7.21,29.92,87.0,122.82204832780565,31.96574249055903,11.0,2.0,6.0,1.0
2020-04-05,8.4,8.5,23.1,12.53,29.92,87.0,91.36762131702613,35.01009891823132,10.0,2.0,6.0,1.0
2020-04-06,0.3,5.8,21.4,9.9,29.9,93.0,100.35460046296315,31.96574249055903,12.0,3.0,6.0,1.0
2020-04-07,2.5,8.6,23.2,8.71,29.83,88.0,92.8654511746823,38.054455345903605,13.0,4.0,6.0,1.0
2020-04-08,0.4,9.9,22.6,7.05,29.91,86.0,103.35026017827546,41.098811773575896,14.0,4.0,6.0,1.0
2020-04-09,1.2,5.8,22.6,7.7,29.95,91.0,107.84374975124398,36.53227713206746,19.0,4.0,6.0,1.0
2020-04-10,0.0,6.9,24.0,6.39,29.94,89.0,101.8524303206193,30.44356427672289,20.0,3.0,6.0,1.0
2020-04-11,0.0,8.7,25.2,5.96,29.88,89.0,88.37196160171382,24.35485142137831,19.0,4.0,7.0,1.0
2020-04-12,28.55,7.3,21.1,15.18,30.0,91.0,77.88715259812065,28.92138606288674,15.0,4.0,7.0,1.0
2020-04-13,1.1,9.2,19.7,12.9,30.05,75.0,88.37196160171382,30.44356427672289,19.0,1.0,7.0,1.0
2020-04-14,0.0,10.0,19.6,6.88,30.0,81.0,92.8654511746823,30.44356427672289,24.0,1.0,7.0,1.0
2020-04-15,0.0,9.0,22.0,6.92,29.91,85.0,91.36762131702613,33.48792070439517,27.0,1.0,7.0,1.0
2020-04-16,0.3,7.9,24.2,7.46,29.84,88.0,100.35460046296315,33.48792070439517,20.0,1.0,7.0,1.0
2020-04-17,1.8,8.3,24.8,6.38,29.85,90.0,95.86111088999465,25.877029635214452,19.0,1.0,7.0,1.0
2020-04-18,0.0,10.0,26.0,6.85,29.83,87.0,85.37630188640148,33.48792070439517,15.0,1.0,6.0,1.0
2020-04-19,0.0,10.0,26.9,7.05,29.79,80.0,97.3589407476508,31.96574249055903,11.0,1.0,7.0,1.0
2020-04-20,0.0,10.0,27.6,5.88,29.79,79.0,97.3589407476508,28.92138606288674,15.0,1.0,7.0,1.0
2020-04-21,0.3,9.9,28.0,6.71,29.76,79.0,95.86111088999465,22.832673207542165,13.0,1.0,7.0,1.0
2020-04-22,10.9,7.8,26.5,6.7,29.81,88.0,79.38498245577682,21.31049499370602,12.0,1.0,7.0,1.0
2020-04-23,21.8,9.8,25.3,9.15,29.88,84.0,76.38932274046448,25.877029635214452,8.0,1.0,7.0,1.0
2020-04-24,18.32,6.3,21.9,18.76,29.94,94.0,85.37630188640148,31.96574249055903,13.0,1.0,7.0,1.0
2020-04-25,2.9,6.0,18.4,13.5,30.01,90.0,92.8654511746823,30.44356427672289,15.0,1.0,7.0,1.0
2020-04-26,3.2,6.0,19.9,14.12,30.04,90.0,92.8654511746823,28.92138606288674,13.0,1.0,7.0,1.0
2020-04-27,0.2,10.0,22.0,9.85,30.05,73.0,92.8654511746823,25.877029635214452,17.0,1.0,7.0,1.0
2020-04-28,0.0,10.0,22.9,8.14,30.0,74.0,86.87413174405764,24.35485142137831,20.0,1.0,7.0,1.0
2020-04-29,0.4,10.0,22.8,6.39,29.95,82.0,77.88715259812065,27.399207849050597,24.0,1.0,7.0,1.0
2020-04-30,0.0,9.0,24.0,5.9,29.9,87.0,73.39366302515215,24.35485142137831,21.0,1.0,7.0,2.0
2020-05-01,0.0,8.0,25.7,7.12,29.8,87.0,74.89149288280831,16.743960352197586,21.0,1.0,7.0,2.0
2020-05-02,0.2,9.1,26.1,6.31,29.75,86.0,59.91319430624665,21.31049499370602,21.0,1.0,7.0,2.0
2020-05-03,0.1,8.1,27.3,5.39,29.74,84.0,77.88715259812065,30.44356427672289,21.0,1.0,7.0,2.0
2020-05-04,0.1,9.9,28.9,6.95,29.74,79.0,91.36762131702613,24.35485142137831,21.0,1.0,7.0,2.0
2020-05-05,0.0,10.0,29.5,8.51,29.7,75.0,76.38932274046448,22.832673207542165,21.0,1.0,7.0,2.0
2020-05-06,0.2,10.0,30.4,7.82,29.67,69.0,67.4023435945275,9.133069283016866,21.0,1.0,7.0,2.0
2020-05-07,0.0,10.0,30.9,9.01,29.67,68.0,31.454427010779494,16.743960352197586,21.0,1.0,7.0,2.0
2020-05-08,0.0,10.0,30.7,7.16,29.67,72.0,58.41536444859049,38.054455345903605,21.0,1.0,7.0,2.0
2020-05-09,0.0,10.0,31.4,7.32,29.71,67.0,106.3459198935878,30.44356427672289,21.0,1.0,7.0,2.0
2020-05-10,0.0,9.9,31.0,7.81,29.72,67.0,76.38932274046448,28.92138606288674,17.0,1.0,7.0,1.0
2020-05-11,0.0,9.9,29.0,7.84,29.76,81.0,79.38498245577682,18.26613856603373,17.0,1.0,7.0,1.0
2020-05-12,0.6,9.5,27.1,7.44,29.81,82.0,53.92187487562199,42.62098998741204,17.0,1.0,7.0,1.0
2020-05-13,0.1,8.8,27.7,7.07,29.79,85.0,88.37196160171382,28.92138606288674,17.0,1.0,7.0,1.0
2020-05-14,0.6,8.9,28.1,7.56,29.74,83.0,73.39366302515215,25.877029635214452,17.0,1.0,7.0,1.0
2020-05-15,1.1,10.0,29.9,8.72,29.65,73.0,71.895833167496,24.35485142137831,17.0,1.0,7.0,1.0
2020-05-16,0.4,9.9,30.3,5.79,29.64,70.0,71.895833167496,31.96574249055903,17.0,1.0,7.0,1.0
2020-05-17,2.2,10.0,29.8,7.52,29.62,74.0,86.87413174405764,18.26613856603373,17.0,1.0,7.0,1.0
2020-05-18,0.0,10.0,29.9,8.22,29.59,69.0,55.41970473327815,16.743960352197586,17.0,1.0,7.0,1.0
2020-05-19,0.2,10.0,29.9,6.48,29.63,74.0,47.930555444997324,19.788316779869877,17.0,1.0,7.0,1.0
2020-05-20,0.2,9.9,31.8,7.92,29.62,64.0,59.91319430624665,22.832673207542165,7.0,1.0,7.0,1.0
2020-05-21,0.0,10.0,32.4,11.44,29.6,60.0,64.40668387921515,22.832673207542165,7.0,1.0,8.0,1.0
2020-05-22,0.3,9.7,31.5,9.0,29.61,67.0,62.90885402155899,19.788316779869877,17.0,1.0,7.0,2.0
2020-05-23,23.2,9.5,28.8,6.64,29.67,86.0,55.41970473327815,25.877029635214452,20.0,1.0,7.0,3.0
2020-05-24,7.9,8.8,28.6,9.33,29.72,79.0,65.90451373687131,18.26613856603373,17.0,1.0,7.0,2.0
2020-05-25,0.0,10.0,30.9,11.16,29.72,65.0,59.91319430624665,18.26613856603373,15.0,1.0,7.0,1.0
2020-05-26,5.7,9.1,29.7,9.91,29.74,75.0,61.41102416390282,15.221782138361444,16.0,1.0,7.0,2.0
2020-05-27,9.5,9.0,28.1,8.05,29.78,86.0,50.92621516030965,15.221782138361444,17.0,1.0,7.0,2.0
2020-05-28,8.0,9.2,28.0,6.11,29.78,85.0,53.92187487562199,19.788316779869877,17.0,1.0,8.0,2.0
2020-05-29,0.0,9.0,27.5,7.08,29.78,84.0,61.41102416390282,21.31049499370602,14.0,1.0,8.0,2.0
2020-05-30,0.0,10.0,28.1,9.04,29.78,75.0,62.90885402155899,19.788316779869877,12.0,1.0,8.0,3.0
2020-05-31,0.0,10.0,29.5,10.01,29.77,68.0,59.91319430624665,13.699603924525299,17.0,1.0,7.0,2.0
2020-06-01,0.0,10.0,29.5,11.65,29.73,67.0,44.93489572968499,18.26613856603373,13.0,1.0,7.0,1.0
2020-06-02,0.0,10.0,29.8,13.57,29.7,66.0,61.41102416390282,16.743960352197586,17.0,1.0,8.0,3.0
2020-06-03,0.0,10.0,30.5,11.73,29.67,64.0,53.92187487562199,13.699603924525299,12.0,1.0,8.0,2.0
2020-06-04,0.0,9.8,31.3,9.25,29.64,63.0,44.93489572968499,13.699603924525299,15.0,1.0,8.0,1.0
2020-06-05,0.0,10.0,31.9,10.82,29.63,62.0,46.43272558734115,16.743960352197586,15.0,1.0,8.0,2.0
2020-06-06,0.0,10.0,32.2,14.55,29.61,60.0,55.41970473327815,15.221782138361444,15.0,1.0,8.0,2.0
2020-06-07,0.0,10.0,32.3,13.7,29.6,58.0,10.488,11.362,15.0,1.0,8.0,1.0
2020-06-08,0.0,10.0,31.4,12.05,29.63,62.0,31.464,14.858,18.0,1.0,8.0,1.0
2020-06-09,0.1,10.0,31.8,8.46,29.65,63.0,39.33,16.606,23.0,9.0,7.0,6.0
2020-06-10,0.1,10.0,31.4,8.19,29.68,65.0,42.826,13.11,27.0,6.0,1.0,4.0
2020-06-11,0.5,10.0,31.6,8.26,29.64,63.0,32.338,217.626,26.0,6.0,1.0,4.0
2020-06-12,1.2,10.0,31.4,8.95,29.59,65.0,272.688,391.552,29.0,5.0,1.0,4.0
2020-06-13,1.4,10.0,31.5,8.03,29.57,68.0,212.382,13.699603924525299,28.0,6.0,1.0,6.0
2020-06-14,0.2,9.9,30.5,7.56,29.63,73.0,0.874,10.65524749685301,33.0,7.0,1.0,5.0
2020-06-15,0.3,10.0,29.1,10.3,29.68,73.0,40.44140615671649,15.221782138361444,29.0,6.0,1.0,4.0
2020-06-16,2.0,10.0,28.9,14.45,29.67,69.0,47.930555444997324,12.177425710689155,22.0,6.0,1.0,5.0
2020-06-17,0.0,10.0,30.3,14.27,29.64,63.0,40.44140615671649,13.699603924525299,16.0,8.0,1.0,8.0
2020-06-18,0.0,10.0,30.8,12.02,29.66,62.0,43.43706587202882,13.699603924525299,17.0,7.0,2.0,7.0
2020-06-19,0.0,10.0,30.8,9.96,29.67,65.0,38.943576299060325,13.699603924525299,43.0,6.0,1.0,6.0
2020-06-20,0.0,9.8,30.8,9.52,29.67,69.0,44.93489572968499,12.177425710689155,25.0,6.0,1.0,5.0
2020-06-21,0.0,10.0,32.0,8.98,29.62,64.0,37.445746441404154,15.221782138361444,21.0,4.0,1.0,3.0
2020-06-22,0.2,10.0,32.7,9.15,29.6,62.0,50.92621516030965,18.26613856603373,35.0,6.0,1.0,4.0
2020-06-23,0.2,10.0,32.9,9.15,29.64,61.0,43.43706587202882,12.177425710689155,27.0,6.0,1.0,5.0
2020-06-24,0.0,10.0,33.0,11.31,29.63,59.0,32.952256868435654,13.699603924525299,29.0,6.0,1.0,6.0
2020-06-25,0.2,10.0,33.0,10.39,29.61,58.0,43.43706587202882,13.699603924525299,28.0,7.0,1.0,6.0
2020-06-26,0.2,10.0,32.4,13.5,29.61,59.0,35.947916583748,9.133069283016866,28.0,6.0,1.0,4.0
2020-06-27,0.0,10.0,32.2,9.6,29.65,60.0,29.956597153123326,13.699603924525299,27.0,6.0,1.0,4.0
2020-06-28,0.0,10.0,31.3,11.22,29.65,68.0,43.43706587202882,7.866,121.0,7.0,1.0,5.0
2020-06-29,0.0,10.0,31.8,9.66,29.62,65.0,18.354,7.866,27.0,4.0,2.0,3.0
2020-06-30,0.0,10.0,31.9,10.4,29.6,62.0,17.48,7.866,25.0,6.0,1.0,6.0
2020-07-01,0.2,9.8,31.6,10.57,29.57,64.0,20.976,13.984,32.0,8.0,1.0,7.0
2020-07-02,0.0,9.9,30.9,9.85,29.58,67.0,22.724,13.11,19.0,9.0,1.0,11.0
2020-07-03,0.0,9.7,30.1,8.79,29.63,71.0,34.086,6.118,7.0,9.0,1.0,10.0
2020-07-04,0.4,10.0,30.2,9.51,29.67,67.0,13.11,6.118,7.0,9.0,1.0,10.0
2020-07-05,0.0,10.0,30.6,9.8,29.64,67.0,7.866,6.992,7.0,4.0,1.0,3.0
2020-07-06,0.0,10.0,31.1,9.8,29.62,68.0,13.11,9.614,14.0,4.0,1.0,3.0
2020-07-07,0.1,9.8,32.0,9.2,29.68,64.0,24.472,10.488,14.0,5.0,1.0,4.0
2020-07-08,0.0,10.0,32.6,14.06,29.68,59.0,27.094,11.362,24.0,6.0,1.0,5.0
2020-07-09,0.0,10.0,32.4,12.62,29.59,58.0,27.094,11.362,26.0,7.0,1.0,6.0
2020-07-10,0.5,10.0,33.4,14.74,29.58,56.0,23.598,11.362,26.0,8.0,2.0,8.0
2020-07-11,0.2,10.0,33.0,12.81,29.6,55.0,25.346,13.11,26.0,9.0,2.0,8.0
2020-07-12,0.4,9.7,31.4,8.58,29.66,65.0,29.716,17.48,30.0,6.0,2.0,4.0
2020-07-13,0.0,9.9,30.6,8.75,29.69,70.0,46.322,13.11,28.0,6.0,2.0,5.0
2020-07-14,0.0,9.8,30.8,8.88,29.69,69.0,35.834,14.858,28.0,6.0,2.0,5.0
2020-07-15,0.0,10.0,31.1,8.48,29.65,69.0,39.33,13.984,28.0,6.0,2.0,5.0
2020-07-16,0.1,10.0,31.7,9.6,29.63,63.0,36.708,13.11,28.0,7.0,1.0,5.0
2020-07-17,0.0,10.0,32.3,12.21,29.66,58.0,27.094,25.877029635214452,21.0,7.0,1.0,5.0
2020-07-18,0.4,10.0,32.1,9.32,29.67,61.0,47.930555444997324,30.44356427672289,21.0,6.0,2.0,5.0
2020-07-19,0.2,10.0,32.1,9.3,29.64,61.0,67.4023435945275,28.92138606288674,31.0,6.0,2.0,4.0
2020-07-20,0.3,10.0,31.2,10.49,29.68,69.0,59.91319430624665,9.133069283016866,24.0,4.0,2.0,3.0
2020-07-21,1.1,9.9,30.6,11.49,29.72,73.0,22.467447864842494,27.399207849050597,17.0,4.0,1.0,3.0
2020-07-22,0.9,10.0,30.1,9.34,29.72,73.0,67.4023435945275,16.743960352197586,19.0,5.0,1.0,5.0
2020-07-23,0.0,9.9,30.5,9.3,29.72,68.0,44.93489572968499,16.743960352197586,20.0,5.0,2.0,4.0
2020-07-24,0.0,10.0,31.1,9.66,29.7,66.0,43.43706587202882,3.496,26.0,5.0,2.0,4.0
2020-07-25,1.7,10.0,30.7,9.88,29.72,71.0,10.488,6.992,23.0,6.0,1.0,4.0
2020-07-26,0.0,10.0,31.5,8.44,29.67,66.0,8.74,33.48792070439517,23.0,4.0,2.0,3.0
2020-07-27,0.0,9.9,31.4,7.47,29.64,65.0,74.89149288280831,24.35485142137831,24.0,5.0,2.0,4.0
2020-07-28,0.4,9.4,30.4,5.62,29.68,75.0,64.40668387921515,8.74,24.0,4.0,2.0,3.0
2020-07-29,0.1,9.8,30.6,7.81,29.69,69.0,21.85,10.488,24.0,3.0,2.0,2.0
2020-07-30,1.3,9.7,30.5,7.94,29.67,72.0,25.346,16.606,23.0,4.0,1.0,2.0
2020-07-31,2.1,9.4,29.2,8.35,29.62,75.0,38.456,16.606,27.0,6.0,2.0,5.0
2020-08-01,200.91,6.7,25.5,12.42,29.48,91.0,40.204,12.236,11.0,4.0,2.0,3.0
2020-08-02,162.57,8.1,26.7,12.94,29.44,85.0,22.724,11.362,17.0,3.0,2.0,2.0
2020-08-03,0.3,10.0,27.9,14.46,29.54,75.0,20.102,12.236,21.0,3.0,2.0,3.0
2020-08-04,0.0,10.0,28.9,10.54,29.56,72.0,16.606,10.488,11.0,3.0,2.0,3.0
2020-08-05,4.1,8.6,27.2,7.16,29.61,88.0,23.598,11.362,29.0,3.0,2.0,2.0
2020-08-06,1.0,9.9,28.2,8.74,29.67,82.0,27.094,12.236,33.0,2.0,2.0,1.0
2020-08-07,0.5,9.6,28.5,8.39,29.67,83.0,30.59,16.606,38.0,2.0,2.0,1.0
