date_time,totalprecip_mm,avgvis_km,temp_c,wind_kph,pressure_in,humidity,pm2.5,pm10,o3,no2,so2,co
2010-01-01,0.0,6.0,22.3,7.12,29.92,88.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-02,3.4,4.7,22.2,8.15,29.93,93.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-03,7.6,3.5,21.2,9.2,29.96,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-04,0.0,9.3,21.9,6.77,29.86,87.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-05,0.5,10.0,22.8,8.32,29.82,81.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-06,9.2,9.5,22.0,11.93,29.93,89.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-07,5.8,8.7,20.4,14.74,30.02,93.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-08,9.54,6.9,17.9,14.02,30.05,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-09,0.0,9.0,20.1,8.12,29.94,88.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-10,0.0,10.0,21.8,7.85,29.91,81.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-11,13.8,7.0,20.1,13.17,30.01,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-12,10.6,6.8,15.8,18.78,30.17,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-13,2.2,3.8,14.0,15.35,30.22,92.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-14,1.6,6.8,15.0,12.23,30.2,90.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-15,1.5,7.3,18.5,7.83,30.14,89.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-16,38.0,8.0,18.1,16.65,30.2,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-17,2.8,8.5,17.3,11.89,30.22,91.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-18,4.2,9.6,17.7,8.7,30.14,90.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-19,0.0,10.0,18.7,8.05,30.04,87.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-20,8.21,7.8,19.6,8.14,30.02,92.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-21,3.7,4.0,21.1,8.79,29.97,95.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-22,8.4,5.8,21.9,7.82,30.0,93.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-23,8.61,6.1,17.8,16.34,30.08,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-24,0.0,3.7,17.9,9.2,30.07,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-25,8.62,3.8,18.6,13.18,30.09,95.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-26,3.9,7.7,17.3,13.92,30.12,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-27,0.0,5.0,19.1,7.34,30.01,91.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-28,0.0,5.0,20.6,5.78,29.98,90.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-29,0.0,6.0,21.8,7.33,29.98,87.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-30,0.0,7.3,22.8,11.05,29.93,83.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-31,0.0,10.0,23.3,8.67,29.91,79.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-01,0.0,10.0,23.3,8.71,29.88,79.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-02,0.1,10.0,23.9,9.13,29.85,77.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-03,0.0,10.0,24.4,8.85,29.86,77.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-04,0.2,9.8,24.5,9.24,29.88,83.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-05,0.3,9.9,24.4,9.78,29.88,85.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-06,0.8,9.4,24.7,8.07,29.89,83.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-07,2.8,9.6,24.6,6.88,29.92,83.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-08,0.2,10.0,24.6,8.49,29.87,76.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-09,0.0,10.0,26.0,8.64,29.83,69.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-10,0.0,10.0,26.3,9.54,29.82,60.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-11,0.0,10.0,26.3,9.25,29.87,56.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-12,6.9,7.8,21.4,13.65,30.0,81.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-13,2.4,4.4,20.7,9.6,29.96,91.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-14,0.1,6.0,22.1,8.97,29.87,88.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-15,7.4,5.5,21.0,13.3,29.98,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-16,5.8,6.1,17.6,14.61,30.08,93.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-17,6.9,7.3,16.5,14.59,30.12,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-18,5.2,6.7,14.8,14.61,30.13,94.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-19,1.8,7.0,12.6,12.84,30.15,92.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-20,0.0,9.7,15.8,5.5,30.03,88.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-21,0.0,7.9,19.6,7.18,29.94,86.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-22,0.1,5.0,21.5,8.39,29.92,87.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-23,0.0,6.0,22.2,5.4,29.85,85.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-24,0.0,10.0,25.5,11.22,29.74,71.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-25,0.0,10.0,26.1,9.48,29.75,59.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-26,0.0,10.0,26.5,8.45,29.76,55.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-27,0.0,10.0,26.0,9.73,29.77,56.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-28,0.0,10.0,26.6,11.43,29.8,61.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-01,0.0,9.9,27.5,10.48,29.82,63.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-02,0.0,10.0,28.3,9.67,29.77,56.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-03,0.0,10.0,28.3,9.57,29.74,53.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-04,0.0,10.0,28.2,10.01,29.72,45.0,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-05,0.0,10.0,28.6,11.0,29.71,40.0,NaN,NaN,NaN,NaN,NaN,NaN
